Energy;alpha = 2 deg
eV;
;1 order
904,648;0,0528
906,624;0,05198
908,59;0,05119
910,57;0,05035
912,544;0,04956
914,514;0,0486
916,492;0,04774
918,466;0,04698
920,434;0,04614
922,406;0,04534
924,382;0,04453
926,366;0,04377
931,888;0,04302
933,858;0,04212
935,832;0,04137
937,804;0,04072
939,778;0,03994
941,75;0,03922
943,725;0,03849
945,7;0,03781
947,668;0,03719
949,64;0,03645
951,612;0,03573
953,588;0,03506
955,56;0,03441
957,538;0,03378
959,501;0,03318
961,475;0,0325
963,452;0,03182
965,437;0,03125
967,4;0,03071
969,378;0,03007
971,348;0,02957
973,314;0,02896
975,29;0,02839
977,265;0,02785
979,235;0,02734
981,221;0,02682
983,188;0,02631
985,158;0,02586
987,128;0,02533
989,105;0,02531
991,082;0,02433
993,054;0,0239
995,028;0,02344
999,453;0,02074
1001,925;0,02022
