Energy	Efficiency(GR)	alpha(norm)	alpha	beta	Cff
1698	0.3654774683	86.68772577	3.31227	5.83171819938776	1.75858193383823
1700	0.3660408412	86.69282457	3.30718	5.82649857188883	1.75971452816092
1702	0.366586483	86.69791156	3.30209000000001	5.82128420547674	1.76085219547323
1704	0.3671445315	86.70298632	3.29701	5.81608077033086	1.76199133287253
1706	0.3677024199	86.70804872	3.29195	5.81089392197898	1.7631282969213
1708	0.3682507117	86.71309934	3.2869	5.80571796517853	1.76426669375802
1710	0.3688051366	86.71813783	3.28185999999999	5.80055288377226	1.76540651472192
1712	0.3693491406	86.72316319	3.27684000000001	5.79540432238992	1.7665440855632
1714	0.3698961067	86.72817583	3.27182000000001	5.79026093973207	1.76768671827679
1716	0.3704408028	86.73317659	3.26682	5.78513403759107	1.76882706269645
1718	0.3709701264	86.73816529	3.26183	5.78001793913678	1.76996877531212
1720	0.3715318672	86.74714289	3.25286	5.77266074710362	1.77259284131932
1722	0.3721341508	86.75210803	3.24789	5.76756766405512	1.77374138198766
1724	0.3727369513	86.75706158	3.24294	5.76249097060729	1.77488753521596
1726	0.3733370105	86.76199916	3.238	5.75742500932238	1.7760350086535
1728	0.373909445	86.76692301	3.23308	5.75237539111829	1.77718003434402
1730	0.3744907208	86.77183537	3.22816	5.74733084263818	1.77833010926413
1732	0.3750607058	86.7767359	3.22326	5.74230259810401	1.77947769639619
1734	0.3756374488	86.78162494	3.21838	5.73729063073633	1.78062275472535
1736	0.3761997838	86.78650297	3.2135	5.73228368901849	1.78177284335096
1738	0.3767659085	86.79136923	3.20863	5.72728737672617	1.7829241730651
1740	0.3773151949	86.79622298	3.20377999999999	5.72230728317075	1.7840729127297
1742	0.3778805806	86.80106513	3.19893	5.71733217862431	1.78522668397861
1744	0.3784390672	86.80589627	3.19410000000001	5.7123732539783	1.78637782384419
1746	0.3789788906	86.81071583	3.18928	5.70742488831927	1.78753014313729
1748	0.3795385711	86.81552417	3.18447999999999	5.70249265661071	1.78867976819407
1750	0.3800810267	86.82032133	3.17968	5.69756535810195	1.78983440448888
1752	0.3806282184	86.8251065	3.17489	5.69264857140702	1.79099018877146
1754	0.3811591052	86.82987751	3.17012	5.68774786074875	1.79214321531887
1756	0.3817375186	86.83863462	3.16137000000001	5.68063363877896	1.79485799913256
1758	0.3823098509	86.84338039	3.15662	5.675755292799	1.79601748694475
1760	0.3828930239	86.84811516	3.15188000000001	5.67088738834159	1.79717806739436
1762	0.3834712702	86.8528387	3.14716	5.66603547048784	1.79833578017
1764	0.3840469502	86.85755181	3.14245	5.6611939557849	1.79949454191591
1766	0.3846190755	86.86225405	3.13775	5.65636282866931	1.8006543413666
1768	0.3851908013	86.86694499	3.13306	5.65154207359863	1.80181516717552
1770	0.3857494387	86.87162447	3.12838000000001	5.64673167505129	1.80297700791476
1772	0.3863182224	86.8762936	3.12371	5.64193161752654	1.8041398520748
1774	0.3868799279	86.88095199	3.11905	5.63714188554447	1.80530368806424
1776	0.3874389401	86.88559942	3.1144	5.63236246364573	1.80646850420952
1778	0.387979672	86.89023616	3.10975999999999	5.6275933363917	1.80763428875468
1780	0.3885277724	86.89486207	3.10514000000001	5.62284001689461	1.80879698312742
1782	0.3890584238	86.89947372	3.10053000000001	5.61809695410577	1.80996060028449
1784	0.3895732272	86.90407209	3.09593	5.61336413265334	1.81112512815564
1786	0.3900796627	86.90865928	3.09134	5.60864153718626	1.81229055458748
1788	0.3905809163	86.91323598	3.08676	5.60392915237383	1.81345686734323
1790	0.3911323205	86.92180244	3.0782	5.59702915222615	1.81626299505276
1792	0.3917103095	86.92635809	3.07364	5.59233855862715	1.81743545042217
1794	0.3922813892	86.93090375	3.06910000000001	5.58766362773592	1.81860462757994
1796	0.392871022	86.93543854	3.06456	5.58299334330978	1.81977877461054
1798	0.3934394918	86.93996269	3.06004	5.57833868400307	1.82094959590876
1800	0.3940165334	86.94447656	3.05552	5.57368864778006	1.82212538377739
1802	0.3945757575	86.94898018	3.05101999999999	5.56905419917759	1.82329779796716
1804	0.3951489871	86.9534732	3.04653	5.56442983138443	1.82447098358789
1806	0.395717822	86.95795623	3.04204	5.55981005173327	1.82564913031762
1808	0.3962781392	86.9624291	3.03757	5.5552058036296	1.82682383065328
1810	0.3968371264	86.96689119	3.03310999999999	5.55061159092192	1.82799926291382
1812	0.3973595859	86.97133735	3.02866	5.54602739851358	1.82917541375128
1814	0.3978654128	86.97577279	3.02423	5.54145867476353	1.83034802200767
1816	0.398382495	86.98019835	3.0198	5.53689447423155	1.8315255583186
